sentimen	Tweet
-1	eh marahh
0	jenis ya
0	asa cewek susah tebak suka bingung pilih tentu jalan
-1	anak anak ku sungguh sungguh ajar tidur main phone whatapps buang wak
0	rapat lampau rapat deh kenal deh benda
1	tuju banget nih diurabaya
-1	komunis buaya mulut nganga senyum men
0	orang laki cuba tips iron baju susah cuba letak kat kepala konek panas gatai
0	kurs ibank harga emas turun loh soo buru deh beli emas batang harga emas
-1	salah haram pilih pimpin letak haram mana pilih kalo cerdas
1	sayang doa allah allah jaga
1	orang header ganteng tawan sih nama
0	enggak apa kalo kemarin perform amas dadah bangtan masuk nominas
0	tuker tiket gue langsung antri unt fanmeetingtray kidsetelah antri efisien periksa
0	alleta kristaahabat juan janneangat sih kembar milik hobby yan
-1	anti pki
-1	innalillahi wainna ilaihi rojiun pulang rahmatullah adinda rahmi hildayantikarna bencana gempa sua
0	cowok cantik by
1	kau pikir orang cantik tampan pikir kau
-1	suka crush crush pandang perih suka crush suka member amat perih haha
0	bantu perintah harap saudara palu gerakcepatuntukpalu https
1	rezeki sikit belanja kawan makan rugi tambah rezeki
-1	bencana bencana duka hilang saudara saudara butuh dukung santun tid
0	cinta uia insan insan pikir perut orang unt
1	gue suka banget komunitas kak pop thailand tuh tertib banget walo giring tugas pas n
1	selamat batik nasional identitas bangga budaya budaya indonesia haribatiknasional
-1	pukul olehekelompok orang bandung babak bur innalillahiegituadisnya mu
1	ctzh sayangg morning kiss ya hmm ngantuk ih mah orang i
1	bikin kerja tenang aceh yogya
1	info adek moga lindung tuhan ya
-1	kawan ramai kawan takut cakap pasal kau tikam kau
0	ebab hidup nak peluang brtaubat nak kuatkn hati ubat peluang bakti orang tersyg ur
-1	orang nilai nilai lihat pikir pikir diri buruk burukl
0	ambil gaya kustom chopper motor tahap kerja lulut
-1	raja arabaudialman bin abdulaziz telepon belasungkawa bencana gempa bumi tsunami diulawesi sek
0	tunda temu imf wb insyallah elektabilitas tingkat palu donggala saran
-1	jujur nak jadi laku bala jadi laku indonesia barangk
0	rlt tau kaya umur deh
-1	orang rapat renggang renggang and now i believe thos
0	askmf thread hutan hutan simpan juta misteri tahu
-1	yimak korban palu cerita kondisi pas bencanaat perintah daerah hadir
0	teman temenku ngalamin cuy dikerjain
-1	student kena pandai bawa kena kawan sentiasa independe
1	parfume favorite pakai zee casablanka
0	solat solat hamba
1	ayo dukung langsung kontestan favorit buru teater garuda tmii amp hubung nomor tele
-1	makan fitnah fpi
-1	hati rezim otoriter orde upaya bangkit kubur tebar isu pki dsb buang deba
-1	jujur nder omong bikin sakit hati loh army ngevote bts
1	drama allahwt sungguh buka bobrok rezim nun
0	hayoo lho
-1	paksa
1	kanker paru stadium b usaha layan media masyarakat rekan sintas kanker
1	hidup jalan laku apa laku pasti cerita kelak cerita
0	babah sejen ugut nak makan ayam goreng babab
0	masuk hall kasih kartu undi scratch pilih benefitnyapecial eventpecial gift
0	anggun shared a video the group jokowi presiden ri cawapres tetapbersaudara
0	cawapres nih
0	nak tidur ajak masuk bilik
0	ws busy assignment online tengok note ws rupanyan time ws gatal dek
0	ayo netizen polling pukul bu ratnaarumpaet bpk bpk
1	orang dorong puji tumbuh cepat cela kritik cela
0	umumin pintu masuk theater member
1	topo moga sehat mention raisa move on raisa kontak
0	juang olahraga cinta cerita kisah kompetisi tulis ilovesport
-1	ratnaarumpaet kondisi babak bur pagi rumahakit rahasia beliau kondisi trau
0	orang perempuan cuba tips niebelum pakai tudung korang mesti gosok tudung korang letak jari kat sterik
0	tahan shohibul tahan dengar ijtima ulama tentu gemp
-1	thank youeptember what i learn from you biar orang jahat amp terima je manusia dengki
0	tahu tanggal oktober batik tetap waris budaya indonesia unesco ya
-1	support brother tutup muka betulpread this dato alif delete mv bodoh
-1	hubung orang henti cinta henti sakit
-1	iri hasil oranglain korban capai hasil
1	capai tuju akhir sabar tobi
1	rakyat gembira hadiah sembako sepeda deh
-1	usir orang orang seru tuhan pagi petang keridh
0	fanmeeting jalan menit event hi touch pas hi touch gue bilang felix sehat
0	hm
-1	deh baik kecewa
0	ya kalo sila ngevote streaming mv idol ngedrag idol bts
1	bahagia nyata bagi jalanjalani
0	terkadang jalan mulus tijalikeuh maju lari sanajan bari ingked ingkedan
0	cont lift mijoo tekan tombol tutup antar lantai dasar gedung
-1	tuh rinso meong
0	lupa lunch
-1	tidakemua mimpi harap wujud sesuai orochimaru naruto
0	salam mntk bantu sikit kuasa twitter tweet sayang mak ayah adik abang kakak sauda
0	gue talent kalo talent nyanyi n artist dunia go intl uk artist ed latin
0	mohon kirim tim daerah daerah pencil masuk kota jemput b
1	sehebatepaduekuat hubung sahabat kitaatu je mintak kacau time nkolat
1	orang ex tinggal rupa eh mesti lol
-1	banyak manusia sentiasa tampak silap laku baik
-1	aniaya https
-1	stalker omgiapa bf orang gf jealous lalutalk
-1	kelas tukang mebel urus negaraebesar indonesia but
0	kali jumpa sia izin urang pacar hari mari lihat kau ku
1	coba kalimat sabar ya jodoh ganti relain paham alasannyaeenggak
1	orang rindu
1	yeeaayy wargaurabaya kudu bangga bu risma raih un habitatcroll of honour aw
0	pegang how survive hadap bencana here is a lifeguard literallyimpan karen
0	wajib harga orang etia susah enyum marah dengar luah ban
1	raisameetsutopo raisameetsutopo raisameetsutopo mari wujud
-1	anti dengar polisi sulit tangkap laku
-1	apa lulus universitas apa cerdas kubu belah harap ce
-1	gangkang nih tusuk
1	grup wag omong gempa postang posting artikel geologi bagus biar peduli tinggal
0	bursa inovasi desa mari wujud desa maju mandiri depan bidpelalawan tppiriau
-1	amal seks kawin anggap buat mesti suka anak dara usung lelaki bel
0	orang bp nya promoin bp pengin carmuk blink followersnya
0	buci
1	emak emak bal gabung gantipresiden yes yes yes yuk mak dukung
1	selamat batik nasional mari jaga waris budaya indonesia batik indonesia nasionalisme eztudia
-1	sempat tusuk pisau jantung
0	diri pas tangkap ulamak aktivis islamea tindak mahkamah parti islame
-1	pt emm adu dpraenin tolak eksploitasi pt emmebagaimanaikap warga beu
0	teruk freak storm kelang moga orang kelang tabah hadap musibah tunggu amin tweet on this
0	kalo tsel minimal beli pulsa nya ribu kudu isi gopay ribu sekian dapat pulsa
0	tragedi manusia butuh libat pimpin gera manusia
-1	lelah
1	bantu saudara tuhan selamat jauh saudara coba marabahay tetapjokowi
0	tsunami acheh nyata tentera negara oic gerak bantu tunai fardhu
0	batik nasional salam takzim kota batik moga amp bang bawa indon
0	rion milik dua gesek buka braku hm kau
1	pancasila ajar gotong royong toleransi indonesia tengah duka menda
-1	astagfirullah nakal ya
1	dear team fpi rakyat indonesia terima kasih hingga korban tenaga bantu
-1	iri pacar
1	moga swt jadi orang milik ilmu lelah cari ilmu
0	perintilan ipu rawat
1	omg bigolive tipis guys
0	pancaindra ku neraka gareng jaga neraka yamadipati pancaindra mu kecoh peduli terd
0	kenal ya
0	dear cinta ilc diskusi kitaelasa pkl besok judul negeri bencanaelamat saksi
-1	kunjung korban gempa repot tim gabung tni polisi amp basarnas perl
0	giveaway tote bag logo uni tyaratnya tweet reply nama member uni t favorit end o
0	delapan truk bbm awal ketat menujuulawesi bagi titik mohon masyarak
0	avaail dear yuk check steller duluiapa tau cocok
-1	banget emak
0	ah alam samatray kids gue bilang keecretlymind maju kalo pegang kuponpecial event
0	deh habis deh layan mak tengok layan mak mcmana ok takpe tunggu je nasib
1	habis peluk hangat sih
-1	bang cepat tanggap tuli lamban peristiwa lapindo
-1	main inti hukum kali main supporternya musim bunuh tutup
0	rlt ngeship
-1	rindu ok fiks rindu mana kumpul bareng bareng bandel bareng adek kelas
0	support cadang pakai bra jimat duit tetek lemas jatuh hidup sentia
-1	aerizenini mutualanama menang bareng huhuhuhuhu auto follback ya buahemangka nya
-1	ganteng ih sebal ah lantai
1	polpolan polingpolingcantik todei motif batik suka
0	entar buka jasa angkut kotaumpah gapapa
1	asik ya twitteran tengok lihat doang ajar caa ajar hahahaha yeu pengin gua tebas
-1	alamak nih peritt wehh perit blurr gambar
0	tengok kerja sembanglah cakap wig course sibuk smh
-1	putus ya oh iya tentuu bajing
-1	inti jatuh cinta ya patah hati orang percaya jaga hati
0	tim gubernur timses pas kampanye link pns pemprov asih masuk kolom kom
1	hug hahaha charr
1	dukung batik salah industri kreatif gerak ekonomi nasional
0	sholawat danholawat butuh syafaat dunia akhirat
1	patut coba btw rambut teman halus lembut
-1	tinggal ketimbang tinggal tinggal energi lipat lip
0	seru aksi manusia donasi saudara saudari diulawesi palu amp donggala sek
0	hubung gue masuk convention gue sempetin mampir eh tau jodoh mx me
1	rani zona nyaman rani apa suka baik kak
1	hahahaha bolehh kang suami takda bgthuu free keluarr
0	kadang kalo tumbuh dewasa sifat jiwa kana yakan
1	pergi panti asuh tau nikmat orang tua sayang mari sayang orang tua
-1	warga donggala ban jarah media temu harap
0	allah izin satu orang cintaiemoga allah satu orang sa
1	perangai cina jadi ingat kos anak cucu pesan baik manusia
-1	sulit ucap selamat tinggal cinta sulit kenang sama hilang nreal
0	couo
0	makan siangg diet lapar alhasil metabolis tubuh lambat
1	percaya untuk
0	hukum pidana orang suruh tindak pidana aktor intelektual hukum penjara
0	kemarin diajakin ya kecuali nicki minaj
0	anti tanggal rakernas iwapi grand inna padang sushi mitra sempat bua
1	selamat pagi jelang siang tau sayang
1	soal bile nk jodoh
-1	tag orangnyai jijiq
0	tweet sembah bangtan overrated mari rep serta hati kaum pendengk
1	saing politik rakyat prestasi prestasi perintah jokowi
0	fokus kerja barber barberlife barberindonesia bekasibarber
1	jatuh cinta dek juang juang
0	kawan ramai paruh suka suku suka tikam ya
0	nyata prabowo pergi negeri wiranto bsdh internal ted teddy bear
-1	sih goblok tau sakit ditungguin diliatin tolol nak
1	kalo emak gua bahagia jalan tuhan mami restuin darip
1	fan hahahahahaha
1	orang sukses muda juang
0	phm xleh kje opis sng duduk je perah otak kne tolong buatkn kje orang
-1	kadang mudah dendam sulit balas buang simpan b
0	yaudah like komen n subs ya
1	rebut peluang ibadah usia tau gilir bawa amal ki
1	jalur sesuai tentu lawan arus rawan celaka sadar selamat
1	pasok bbm provinsiulawesi jalanemoga cepat selamat tuju saudara diula
0	dua
-1	masyaallah kampung aceh wak cerita
-1	orang terima balas baik tauin bikin kecewa wa
1	hahahahaaya curhat ya dek
0	kustomfest luck draw mesin chopper
-1	kadang pilih siap cinta hampir
-1	orang sulit raih sukses milik tahu gagal paham
0	tiba main man utd training centre masam je muka
1	suka ngusung konsep latin tau suara cocok
1	diam mari kawal lawan tidak adil lawankemustahilan moga tindak cepat
1	abi isa ruhul kudus ruh suci ataujiwa suciudah bersih jiwa hati
0	jenis batik banget frozzaholics batik beda teknik buat corak daerah
0	bts gencar kampanye endviolence ikut dengar fandom bijak pas kal
0	makan kat orang jumpa habis pon makan
0	tampak chatime plazaurabaya please pakai jasa hargain ya mudah kalia
-1	induk mana tekan beban lah
1	harta momy amp papa buat baik anak amp didik rana amanah allah
0	tuh dahni perintah buta tuli prosedur a
0	miss kayak words
-1	diam faham erti hilang tinggal
-1	jomblo sejati cinta tulus respon
0	hilang tekan ustazah nor hafizah musa cuba amal lepas bangun pagi lepas solat
1	selamat ya mutual
-1	video perintah bantu butuh makan bantu logistik kunjung korban
0	gue smecretlymind langsung cari region antri ya nomor an bilang bagi masuk bela
-1	hilang ajar tuhan rencana untuk bebal
1	takat bersungguhungguh kerja tengok engkau
-1	tombol block panjang drama tombol mute solusi timeline bersih konten orang
-1	aruna besok coba mie pontianak yuk lho muslim makan makan halal sih iya pakai jilbab
-1	taknak salah parents parents struggle nak highlight kat kanak
0	let sih join the techies day with raya cari peluang bidang teknologi
-1	pandang meni pintu rezeki pikir ulang pandang ituebab
0	kondoms sobat tubi mari biasa makan fast food chain ringan beban orang
1	laku baik keluh hasil kerja b
1	hahahahaha at least tau daun kari
0	rakyat bro rakyat bencana dipolitisir e
-1	orang pikir sayang kalo mikir ya alhamdulilah sejat
1	astaghfirullah moga allah lindung saudara saudara sana moga korban jiwa
-1	dukacita saudara alami musibah tsunamiemoga keluarga tinggal korban jiwa ket
0	salam ustaz aya ustaz hukum rancang keluarga mahu jaga kesihatan ela
-1	foto tani cepat pulang
1	moga dosa ampun
0	giveaway exo anggun teaser kambek ig xiumin okt wisuda amp doa nya sek
-1	keri ribu orang pendam bawah tanah dalam meter doa moga tuhan ajaib
1	mari jaga bumi tanggung sampah hasil produk
0	ads cari apakincare amp kosmetik korea totebag murah masker organik loh dropshipper
0	letih baik ujung sprei lepas lepas sabar mena
0	ya bgstiape lo beer
1	teruk amp sasar pon tetap jaga solat rana solat komunikasi cipta
0	batik tetap waris budaya unesco tanggal oktober tetap sebaga
0	sutopoo
1	bijaksana mampu gambar orang
0	asih share dukung aktivitas
-1	balik mantan sakit salah balik mantan perb
0	video simpul kalo bts kagak waras oke sekian
-1	sahabat salah tegur maaf lampau nilai keman
0	kayak mahal ih
0	lupa follow sosial media entrasol mention orang teman hashtag byebyefaktoru nutrisipalingnger
0	pasok bbm provinsiulawesi jalanemoga cepat selamat tuju saudara diul
0	mari saksi berani anak muda
-1	ribet kalo pacar followersnya sayang kangen kangen sange hah guru kalo
0	give away filla disruptor ilotte bagi ulang ku rules retweet
0	gapapa bebas suka sayang pacar bejibun hak marah ata
-1	sibuk sebar informasi fitnah culik prabowo nya aku
-1	senyum senyum hide kau hadap kau kau pendam hide n
0	hey kawan kawa
-1	takut lara cipta
-1	astagfirullahaladzim
-1	situasi normal kriminal cegah kondusif coba
0	adu sia sia menteri kesihatan arah cafe jebat tutup harini harap ubah
0	waoow identitas gemar kemancan n
0	bunuh escapism dorang ianya benda orang conside
1	mudah pesona rupa indah hati indah tuntun kebahagiaa
0	impak atas impak muram smartphone addiction cenderung malas mager un
1	ayok kencan
-1	iya anjir erti
0	duit habis wkwkwk
1	untuk siapa harap moga cielah receh banget deh
-1	hidup mudah mikir malam usaha cari jomblo
0	kemarin rame doa anak h
1	hidup kopi enak minum tau nikmat
1	selamat batik nasional identitas bangga budaya yuk kena batik
0	cinta bulu hidung hidung bulu
-1	muslim malaysia sombong suci rana tiada tsunami barangkali uji nikmat istidraj
-1	situ ditegor polisi bilang habis ngiris singkonguami bunuh
-1	cecer bukti fpi jiwa merah putih cinta nkri gera manusia lem
0	mari teman rt ya
0	fhm n perut orang ker
-1	erti bebas bebas harap gantung
0	bicara payudara gambar sensual isap puting
-1	aneh kader golkar sejati jokowi anti prabowoama kader golkar durhaka orang tua goda
0	ab aeri ayo followan sekaliam mutual hype brng haru brng rt ya janji flbck
0	orang melayu sopan istilah buang air buang air buang air dik
1	kau sahabat sejati tak tinggal menghianatimu juang
0	manusia beban hidup gantung sikap itudh kodrat
0	mintak demand nk experience hmm nasib
0	auchh deep kal hmm hmm hmm hmm hmm
0	inshaallah iktibar lelaki letak iron kat mata ajar jaga
0	ayo winkdeep
0	jamin pasang alam
0	setia uji umur hidup lulus uji picu pikir
-1	allah tarik hidup kuat mengharungi duga yan
-1	dingin cangkir kenang rindu sayang
0	dua lihat komentator ya
0	rawan pandu adil evakuasi terhdp jenazah saudara diultengemoga amal
0	ah dua banget shraing beliau btw beliau curhatan jaman
-1	gang mendung hitam jerit tangis jatuh peluk me
1	hikmah menjd sales mudah cetak hasil memuaska
0	tuntut sejahtera layak honor guru lamongan
0	wanita unik asa pada fr
1	share kalo beli belanja on line mu nyaman ya testimoni kah fo
0	hai nip nama nipea body lotion debby l
-1	penat jaga hati orang deh taknak harga peduli sakit sedih
0	kirim info kalo laga trakhir lawan persigoemeru lumajang ultras brati kudu latih
-1	doktrin masuk otak merekaungguh mabuk agama bahaya mabuk apa kalo baca kayak
-1	tinggal orang orang hadir mampir
1	men drive mau
0	batik identitas dunia jokowi batik nasional haribatiknasional
0	andre jadi tanggal eptember cuit bu ratna ha
-1	jarah apa toleransi toleransi perilaku jarah akibat chaos rugi p
0	samping godok keras alva pikir reward
-1	balas line chat menit keyboard handphone pemuda ubah tema wajah
0	vampire kalo deg dega
-1	resiko cinta jamin cinta
1	moga allah jadi wanita ahli syurga amin
1	manado peduli perintah kota manado buka posko bantu salur saudara saudari alami
-1	mak isu isu me
-1	gakeneng
0	masuk baikemoga jajar sigap tanggap laku butuh elemen bangsa
0	phone tangan amin
0	chinguship tuh ya
1	info tarik baru tangan gempa palu donggala timar bandungiapkan alat
0	soal duduk solat jemaah bilal iqamat bangun https
1	minggu putus giat jakarta kumpul bantu mend
-1	orang terima balas baik tauin bikin kecewa wa
0	teleponms internet gratis korban gempa palu
1	pancing tani prihasto program bawa dampak positif tania
0	rlt tolong paham hangul ya
1	act buka sempat bagiahabat salur bantu saudara dampak gempa palu dongga
0	plastik klip cocok jual pakai hijab lebih klip buka tutup material pe kila
-1	pas habis baca langsung mikir goblok gue lol
1	halo frinz bcs malam hasil bikin terkedjoed nanges kejer gegara oknum giveaway p
1	terima kasih rana ajar benda erti hidup terima kasih dunia indah terima
1	allah ta ala firman sesuai sangka hamba ku sama kuaya mmilih brprasangk
0	arwana lidah
1	twitter please your magic nama edy ajak bantu edy lawan sakit
0	jenderal kivlan zein bawa dokumen ronta pki dpr bravo jendralelamanyaantipk
-1	nak scam just plain naivety user id password deh kena phished nmpak reckless orang call
-1	eh faham spesis kau pung pang pung pang cakap kena sound big bos pasal kerja pastu
0	ketua lgbt dukung jokowi titik darah habis eeh tangkap
-1	innalillah biadab prikemanusiaan
0	kau lewat solat allah lewat kau jodoh rezeki jaya doa pesan
0	koordinasi pimpin absent saran kritik terhdp tangan hujat tuduh
0	pilpres kali gue tentu pilih simpatisan kubu mana tagar ganti presiden
-1	hospital is canceled
0	maarif institute bedah jurnal islam media era revolusi digital monitornews
-1	rlt habis lihat foto ayah tua pikir anak maksiat jahat banget ya urus kak
0	sepi nih enak kapai biar rame bangunin cheolie
1	ab ayo yangeneng exo kambek avanyapeedometer mutualan yuk autofollback ya ku exo kambek woy
0	photo tahan salah beliau twitter fb ig hapus photonya memb
0	tolong bles min min akreditasi guru program studi program studi
1	manusia hakikat lahir beda
0	benda minit jam gara gara jumpa parking jumpa
1	yuk tebakanakulaku lengkap atas orang untung voucher kfc kak vouche
1	cepat kurus enggak usah capek capek olah raga minum cmp jamin cepat kurus sehat
-1	sih teman model kaget marah diucapin gue nafas
0	yes menang hati minat nak tengok full video link igs tau korang swipe je repost r
1	bethannyamos usaha keras tertawa tingkah gegabah
-1	canggih canggih google maps waze tau jalan pakai hajata
1	nak kongsi kisah pasal ubah istikamah sorang kawan level adik adik gangste
0	hidup usaha nriman viral cuitanoal lulusanarjanausah cari kerja unggah akun banjir komentar
1	of welcome harap sahajaemoga indah tenang harmoni amin
-1	pesan bernas pedoman pilpres indonesia majutop konflik debat ideologi ujungekarang jamann
0	mini giveaway pulsa kak orang lantai lantai pertamaqu kemarin exo drop the new logo out akun b
0	macbook gb beli jun warranty apple malaysia harga rm condition jarang
-1	fpi sibuk bantu korban bencana alam palu donggala fitnah fpi
-1	ya moga sampean keluarga sampean buka usaha toko bencana eh barang dagang dija
0	sabar tunggu buku murakami baru terbit tunggu ha
-1	oal jadup rp orang realisasi korban gempa sulit kerja pendapata
0	informasi kait butuh bantu donasi cari orang hilang palu donggala mar
0	doa makbul fahamkan allah dahulu mah
-1	kali tangan bencana kacau balau jokowi bencana kayak situasi teri
-1	percaya tafsir track record
1	posko peduli palu gorontalo kampus unu gorontalo posko kirim bantu palu mene
1	dekat bangun daerah tinggal bas seni budaya harap kontribusi lestari arif
0	why did we learn mla all these years if we re gonna use for everything else
0	minggu mak tolong pack cadar tengok cadar apaiap patung uolls mak gigit kang
1	salam hormat pakby beliau pimpin mimpi
1	ik mutualan yuk ikonics ya no mulfan no ygstan no pinkon shipper
0	nyata media salah
0	builder retro classic cycles hobi muscle car amerika bocor chopp
1	sungguh lilit utang bicara dusta janji pungkiri al bukh ri
-1	save ouroccer bebas sepak bola urus sinis main bengis suporter sadis
1	turki singgah rugi hierapolis cotton castle denizli pamukkale matahari terik ta
-1	banser turun lapor
0	kak babak bur hajar orang kenal mohon info
1	keren ya baris emak bawa panji tauhid komunitas scooter hijrah acara pawai tauhid pagi islamselamatka
0	giveaway pulsa rangkam dengar raung exo l exo comeback pulsa kak o
1	hancur guys tolong luar mari syukur
-1	brader hurai pasal gaji ltk harap budak menteri hadam ishh layak me
1	kambing ayam milik urus sepenuh pakkp terus kerja sedia manfaat progr
1	baca titi air mata saat warga lombok sulit akibat gempa gotong royong
-1	sahabat salah tegur maaf lampau nilai keman
-1	bro indak pakai narasi jual politik kecap basi fakta keluarga rasa dampak bencana
1	beda orang ajar karakter kultur orang beda dunia kusto
1	abi isa sklmpk orang yahudi keluar kotor kpdnya nabi isa balas santun
-1	hati rezim otoriter orde upaya bangkit kubur tebar isu pki dsb buang deba
-1	malapetaka besar umat bencana bumi bala benar agamawan hil
-1	cibir bro kterlibatan baca deh harap bantu ln anggap kak
0	hai teman suka main pubg yuk join grup pubgindonesia ken
0	masjid selamat bencana konkritnya teguh bangun hebat masjid satuny
0	lanjur ngrasakne rasakne
0	anda orang pikir
0	pagi
1	i suka how the driver didnt even drive pas but waited for the malayan tiger finish crossing first lepastu dor
-1	ya sama nama nya ambil orang ijin hak jarah maling nama
1	ya allah rezeki langit turun bumi keluar sukar mudahkanl
1	tampak chatime plazaurabaya please pakai jasa hargain ya mudah kalia
1	fiksi ambil tema the power of innovativeociopreneurship tuju bangun semangat jiwa kewirausa
-1	kengototan perintah tolak tetap status bencana gempa tsunami lombok ntb paluulawesi ben
0	email subuh sih balas tunggu balas capt
0	biji botol
-1	kau hadir rusak usaha perih hati kau batakdukungjokowi
1	beda alir musik band band tampil kuat tema warna beda
0	hah
1	solusi guru lapang praktek didik kordinasi akademisi buat bijak
1	ya allah angkat sakit saudara layan amp tolong rakyatehat amp semangat ya mas
1	cari kalo fansign go
0	mas maaf surat nyata surat lamar download mana ya
-1	dosen kalo telat bikin salah dikit ungkit mulu kalo huft
0	febri hariyadi dedi kusnandar panggil tim nasional indonesia tampil timnas hadap mya
1	khawatir dorong sungguh sungguh atas khawatir membu
0	good morning kabar lupa follback ya
1	cinta gantipresiden prabowosandi betapa mulia hati sikap
1	raja arabaudialman bin abdulaziz telepon belasungkawa bencana gempa bumi tsunami diulawesi sek
0	mhn maaf ketidaknyamanannya bpk harsya mhn informasi bpk transaksi denganakuku merchant tks mora
0	tampak dinding pasca gempa jogja mei publikasi ilm bansos foto
0	iya kak bingung ambil jurus
0	prinsip manajemen krisis jelas pimpin juru bicara tunggal sahut juju
1	orang pegang janji usaha tepat orang percaya ftv sctv jam
-1	pengantin takmau shoot outdoor kau kena deliver be like
1	comel gila kisah kak astiey nurasiah suami hensem iras irashahir admirable sense
-1	tau maaf bodoh kalo pintar mudah bodoh kalo lo bilang
0	bantai ulama danantri darah madiuneptember
0	pesan pesan ajar hidup serendah rendah akhlak
-1	hak atur presiden siapalma konteks laksana tugas presiden jokowi hak mem
-1	kat twitter istilah pon nk pon nk tweet pon nk cerita tweet suka kau nya
0	follower beli iphone kedai ighop seangkatanila semak warranti
1	bencana bencana duka hilang saudara saudara butuh dukung santun tid
0	bang karni makan udang fahamlah kepala kotor otak kadang kotor
1	infokeu kemenkeu fokus bantu badan nasional tangan bencana bnpb menteri lembaga perintah daerah
1	teluk palu model kanal tertutupehingga air kumpul kuat lipi
-1	tuduh pki presiden itu teriak teriak mejen pola
1	mowning sakit kudu semangat
0	tau alas tolak perintah tetap status bencana nasional tinjau perspektif uu
0	delapan truk bbm awal ketat menujuulawesi bagi titik mohon masyarak
0	gaduh
-1	akun kayak asli kocak banget ukthi idam fan aktor korea lantas harap jodoh
-1	dosa maksiat sebab lombok palu landa bencana orang palestin bangsa maksiat rana
0	kau tidur rindu orang family kau ya allah rindua
0	beda jarah ambil mhn pencerahaanya
1	warga kampung lere palu syukur rawan fpi sigap radikal evakuasi jenazah kerabat korb
-1	kitorang gaduh lepastu takde malas deh nak fikir malas nak gaduh hati deh hila
0	imam alyafii wan duka abadi gembira sengsara sepan
1	finally beli buku next time nak beli koleksi kat rumah https
0	bacain tweetku okt pengin teriak kuping ikilo biyen ya perha
0	idm reply tweet kalo bangtan masuk nominasi grammy perform sana reply hashtag vote
1	iya official chicken noodle partner
0	dok usha deh tau nk beli gi sis beli online jee hihi
1	moga proses pulih jalan lancar saudara giat
1	sepakat wujud pilpres integritas mi
0	batik nasional tetap batik unesco waris manusia budaya lisan non
0	habib rizieqyihab aku kena denda cekal arabaudi duta ri arabaudi ca
0	uji organoleptik ikan kakatua ikan kerapu rumput laut
0	ya manusia salah
1	kangen
0	twitter laku kuat sharemu teman kakak balita luka kepala permohona
0	kustomfest tampil motor kustom kapasitas ruang
1	jenis orang musibah amp geng uji musibah kelompok
0	copas gunung anak krakatau dielatunda keluar lava pijar sentuh laut gunu
0	montaj gimik sempena majlis perasmian tutup inovasi jkr malaysia leveraging innovation towards ir
0	bae jinyoung cyeol
-1	tonton gs pki manfaat rakyat indonesia bangun dendam anak bangsa
-1	tolong beware number nicammer deh ambk duit rm weyy tipu silap tac kat no sa
-1	sana sengaja chaos laku ya
0	halo kawanaksi tegal yuk ketemu busantikorupsi alun alun kota tegal
1	hari tinjau titik kota palu kemarin evakuasi korban sedia air b
1	selamat gempa tsunami palu hidup mukjizat orang oran
0	iloveaceh kustomfest ajang kumpul modifikator suka motor mobil kustom tanah air amp mancanegara dip
0	sial yip yip
0	pergi try tiada dapat original ambik gambar review deh gambar amik duit je
0	sabar hidup bada mentari musim semi
1	sikap jujur ketidakmampuan atas amp rendah hati tolong
0	abai uu tinjau sosial politik alas dekat benar alokasi anggar
1	ya tau nuna
1	perintah buka akses benar luas luas korban jamin bebas
1	cantik manis toketku
1	adik umur deh kali whatsapp senyum group happy sikit mesti b
0	iloveaceh kustomfest ambil tema color of difference gelar gadang ajang pamer
0	his made me cry they teallytaed out as just internet best friends and now look at their asses i feelo attacked htt
-1	warga temenku ditwitter doa malam kaki gunung ciremai bakar gede banget dita
-1	ah beda idol comeback tahun kali norak nder hyp
0	ah ratus motor puluh mobil kustom pamer hall jec manja mata unjung menjad
1	kenal dalem adek terhura
0	ab haiayang yanh avanyapeedometer ayo retweet autofollback ya
-1	bahagia tinggal kak
0	tv
0	iloveaceh tema colour of difference warna beda ambil upaya singkap
1	adik ek kot no wonderlah janji nak belikan
1	suka nya pakai budged ski worth buy sih
-1	golong sokong zakir sebabkn contentnya sesuai multi racial country kan
0	iloveaceh ratus motor amp puluh mobil kustom pamer hall jec manja mata unjung sekalig
0	bnpb ngetwit
0	film bencana alam bikin kitaimpati gerak asih bantu
1	hai mbak paulin dimaksudtiket tap t cash hilang ya sila kunjung grapari
0	nak cakap bn harga orang bisingkrang ph naik harga minyakemua senyp ah cakap
0	min award tiket tiket prameks kereta api jarak sih
0	kaji ilmu fiqih kondisi daruratelama makan babi hutan ditembaknyaat
0	foto foto ucap gayaederet tokoh batik nasional
1	exo keluar teaser menang ada an pilih menang ya
-1	kaco
0	iloveaceh kabar hadir unit pesawat terbang mesin motor harley davidson buat ket
0	cinta wajar cinta buat bosan
0	promo dress navy light blue collection dress jubah promo price rm normal price rm jimat tau dek
1	kanker paru stadium b usaha layan media masyarakat rekan sintas kanker
0	iya sih bingung
1	warga masyarakat singgah tuban tolak hoax ujar benci sara tolakhoax lawanhoax
0	kalla group membawahiekolah islam athirah yayasan kalla
0	suka dengar ayat niiapa sahabat hadir doa hadir doa
1	baik tiang gardu listrik akibat gempa palu doauntuksultengaluranpemer
0	konten acara beda gelar bawa sepeda motor kustom me
0	dakwa seleweng wang raja bekas perdana menteri datukeri najib tun razak contoh kes prior
1	nilai bagus ipk pintar orang sukses beli laku tidur tidur tidur buka twit
0	upload cuman ktp foto kirim pakai pos mbak maaf ngerepoti
